square_feet,num_bedrooms,num_bathrooms,lot_size,year_built,has_garage,neighborhood,price_k
2488.0,4,1,5669.0,1955,Yes,D,335.73
1760.0,3,2,2740.0,1969,No,A,287.56
1907.0,3,1,3203.0,2004,Yes,A,303.4
1447.0,3,2,4235.0,2005,Yes,D,246.0
1402.0,3,1,5965.0,2002,Yes,A,297.56
2406.0,4,2,2929.0,1982,No,B,317.49
2678.0,2,1,4737.0,1971,Yes,A,347.97
1964.0,3,3,4735.0,1999,No,C,313.76
2502.0,3,1,6189.0,1976,Yes,A,370.34
2181.0,3,2,6012.0,1997,Yes,C,326.04
1677.0,3,1,3485.0,2015,Yes,A,290.84
2181.0,5,1,7170.0,1962,Yes,A,354.34
2769.0,4,3,3255.0,1951,No,B,369.83
1982.0,4,2,6638.0,1995,No,A,339.13
2782.0,3,1,4175.0,2020,No,A,377.88
690.0,3,2,5246.0,1960,Yes,A,222.6
2411.0,2,2,5339.0,1975,Yes,A,353.22
2044.0,4,2,5297.0,2012,Yes,D,295.05
1850.0,3,2,6012.0,1998,Yes,B,316.7
2046.0,2,3,5587.0,2012,No,D,290.38
1006.0,4,1,6175.0,1970,No,B,246.74
1890.0,2,2,5697.0,1998,No,A,285.26
2179.0,3,2,3103.0,1958,Yes,C,290.93
2739.0,2,3,5405.0,1970,No,A,367.2
1741.0,2,3,4154.0,2002,Yes,B,282.43
1596.0,2,3,3336.0,2004,Yes,A,314.91
1749.0,2,3,4565.0,1990,Yes,C,289.29
2458.0,4,4,5275.0,1955,No,D,330.61
2164.0,4,2,5375.0,1950,Yes,D,314.87
1735.0,3,3,6584.0,2013,Yes,B,321.83
2257.0,4,4,6961.0,1954,Yes,B,357.06
2049.0,3,1,5504.0,1975,No,A,294.07
2484.0,3,2,5776.0,1950,No,C,312.33
1649.0,2,3,5143.0,1950,Yes,D,252.16
1836.0,4,3,6151.0,1987,No,B,322.56
1804.0,3,3,5730.0,1990,Yes,C,310.11
1268.0,4,3,4918.0,1977,Yes,C,285.02
2148.0,4,3,8228.0,1954,Yes,C,334.65
2131.0,3,2,4181.0,1970,Yes,C,296.38
2003.0,4,1,7182.0,2012,Yes,A,346.11
1883.0,5,1,2969.0,1961,No,C,281.09
1292.0,3,2,6220.0,1955,No,A,256.53
1790.0,3,2,7155.0,1978,Yes,C,301.97
1829.0,4,2,2139.0,2010,Yes,A,318.1
1599.0,4,2,5208.0,1984,Yes,D,269.69
1919.0,2,3,6073.0,2001,Yes,C,304.02
2202.0,3,2,5378.0,1982,Yes,C,339.38
2943.0,3,3,5567.0,1974,No,A,382.55
2087.0,3,3,5204.0,1963,Yes,C,318.32
2129.0,2,2,3359.0,2002,Yes,D,305.33
1963.0,5,2,8552.0,2010,Yes,C,338.65
1041.0,4,3,4245.0,1962,No,D,201.92
1987.0,3,3,5651.0,1964,Yes,A,333.29
2030.0,4,2,4030.0,2004,Yes,C,324.05
3232.0,4,1,1586.0,2002,Yes,B,401.93
1904.0,2,2,3613.0,1996,Yes,A,309.69
2151.0,3,1,2829.0,1994,No,C,270.96
1983.0,3,2,6637.0,2013,Yes,C,315.31
1416.0,4,2,4090.0,1964,No,A,275.53
2571.0,2,2,4229.0,1970,Yes,C,315.34
2376.0,5,4,3404.0,1985,Yes,A,405.13
2396.0,3,2,5141.0,2019,No,B,342.77
1545.0,3,3,3925.0,1974,No,C,270.49
2701.0,3,3,6489.0,1993,Yes,A,412.06
1299.0,2,3,5453.0,1950,Yes,B,252.44
2293.0,4,2,4142.0,1991,Yes,B,350.07
3095.0,5,2,6275.0,2008,No,C,431.31
1505.0,3,3,5012.0,1982,No,B,258.4
1717.0,5,3,5032.0,1981,Yes,B,319.71
2050.0,4,2,2806.0,2015,Yes,B,322.59
1748.0,3,1,4893.0,1974,Yes,D,256.17
1225.0,4,3,5482.0,1989,No,A,282.6
2034.0,3,2,7000.0,2007,Yes,A,349.71
1469.0,3,1,3872.0,2013,Yes,A,282.36
2237.0,2,3,8417.0,1968,No,A,344.06
1540.0,4,2,5835.0,1977,Yes,A,309.28
2775.0,2,2,2721.0,1991,Yes,A,367.01
1608.0,4,3,3732.0,1999,Yes,A,321.8
1839.0,4,2,7131.0,1997,Yes,B,326.93
2407.0,3,2,6865.0,2006,Yes,A,374.72
1385.0,3,2,5027.0,1958,Yes,A,265.55
2114.0,3,2,5225.0,1979,Yes,B,323.24
2654.0,3,3,3253.0,1967,Yes,C,355.7
1196.0,3,2,6982.0,1994,Yes,C,254.34
2092.0,3,1,3518.0,2015,Yes,B,309.21
2130.0,3,1,6267.0,1960,Yes,B,315.41
2391.0,2,2,7028.0,2016,Yes,C,343.89
1382.0,2,2,5072.0,1964,Yes,D,229.39
1340.0,2,2,6451.0,1989,No,C,218.26
2261.0,4,2,7771.0,1962,Yes,A,371.49
2148.0,5,1,5402.0,1982,Yes,B,339.59
2125.0,3,2,4737.0,1951,Yes,B,318.15
2173.0,3,3,4900.0,1983,Yes,B,342.17
1660.0,2,1,3886.0,1965,No,B,233.62
2116.0,3,2,3852.0,1963,Yes,C,309.42
2147.0,2,2,5664.0,1995,Yes,A,323.91
1643.0,4,3,4754.0,1999,Yes,B,311.99
2933.0,5,1,5491.0,1954,No,C,352.98
2237.0,2,3,2765.0,1992,Yes,B,301.88
1404.0,4,2,4861.0,1967,Yes,A,291.62
2328.0,2,3,6545.0,1997,No,C,332.1
1513.0,3,1,3322.0,2013,Yes,D,247.29
2394.0,2,3,5025.0,1975,No,D,307.26
2579.0,3,3,2218.0,2019,Yes,B,350.6
1590.0,2,2,3042.0,1963,Yes,B,256.41
2482.0,3,2,6211.0,2015,Yes,B,370.43
2206.0,3,2,4536.0,2010,Yes,C,323.08
2411.0,3,1,7733.0,1970,Yes,C,338.12
2948.0,4,3,5649.0,2004,Yes,A,418.7
1877.0,5,1,5796.0,1951,Yes,C,286.83
1623.0,3,1,3385.0,1952,Yes,C,251.29
1555.0,2,2,4422.0,1962,Yes,B,247.88
1592.0,3,1,3901.0,1970,Yes,A,279.64
1961.0,4,4,3402.0,1982,Yes,C,323.1
2171.0,3,3,5996.0,1969,Yes,B,347.86
2138.0,3,2,6297.0,1967,Yes,C,321.07
2414.0,2,3,5598.0,1987,Yes,B,380.63
2007.0,3,3,3758.0,1974,No,B,296.55
2727.0,3,2,5496.0,1987,Yes,D,360.64
1868.0,5,3,2131.0,1964,Yes,C,296.13
3360.0,4,1,6985.0,1978,No,A,439.53
2313.0,2,2,3053.0,2013,Yes,C,320.84
1571.0,3,2,3319.0,1981,Yes,C,244.01
1465.0,3,3,5173.0,1992,Yes,A,285.42
2241.0,3,1,5306.0,1962,No,D,284.81
1888.0,4,2,4891.0,1974,No,B,285.14
2357.0,3,2,3335.0,1998,No,D,310.04
2237.0,3,2,6700.0,1957,Yes,B,320.4
1964.0,3,3,2471.0,1977,Yes,C,293.45
1577.0,4,2,2775.0,1960,Yes,B,269.98
1243.0,4,1,4840.0,2004,Yes,D,251.8
1777.0,3,1,3104.0,1959,Yes,B,270.07
2428.0,3,2,6834.0,2008,Yes,A,384.18
2107.0,3,2,3233.0,2014,Yes,C,317.93
1377.0,5,1,7336.0,1954,No,A,263.48
2087.0,3,2,6553.0,1969,Yes,D,327.42
2193.0,3,2,6853.0,1954,No,A,336.64
1558.0,3,1,7831.0,2016,Yes,B,285.95
2077.0,4,2,5122.0,1979,Yes,C,309.77
2029.0,3,3,3481.0,1983,No,B,314.69
1429.0,2,2,4845.0,1950,Yes,C,247.45
2179.0,3,3,4150.0,1976,No,B,322.54
2280.0,4,1,3936.0,2012,Yes,B,332.95
2542.0,4,2,5226.0,1983,No,B,348.19
2527.0,4,2,4532.0,1981,Yes,A,387.13
1311.0,3,2,3872.0,2020,Yes,C,261.08
1531.0,2,2,4632.0,1995,No,B,246.72
2258.0,5,3,5823.0,2017,Yes,B,391.75
2257.0,3,2,6435.0,2006,Yes,D,349.49
2258.0,4,1,2596.0,1971,Yes,B,317.15
3926.0,4,2,4545.0,1978,No,D,433.49
2285.0,3,3,4788.0,1994,Yes,D,342.96
2568.0,3,4,3226.0,1994,Yes,C,377.19
2477.0,4,2,4820.0,2016,No,A,383.27
2326.0,4,2,5222.0,1970,No,D,317.29
1842.0,3,2,5778.0,1970,Yes,A,307.36
2379.0,3,3,5116.0,2009,No,B,355.9
1614.0,2,4,3679.0,1978,Yes,D,258.85
1882.0,2,3,8018.0,1982,Yes,B,314.59
1757.0,3,2,6244.0,1988,Yes,C,295.23
2041.0,3,1,5829.0,2011,Yes,B,323.21
3157.0,5,3,6507.0,2020,No,B,434.3
1066.0,4,3,5367.0,1994,Yes,B,252.96
2343.0,4,3,6929.0,2007,Yes,D,355.47
1194.0,3,1,5085.0,1950,Yes,B,226.95
1764.0,2,2,5003.0,1960,Yes,A,275.89
2544.0,5,2,5953.0,1981,Yes,A,394.71
2032.0,3,3,7365.0,1998,No,A,339.17
1461.0,2,1,7268.0,1979,Yes,B,271.86
1642.0,3,2,5889.0,2009,No,A,295.53
2340.0,4,2,5775.0,1959,Yes,B,348.73
1635.0,4,1,6044.0,1970,Yes,A,306.84
2108.0,2,2,6478.0,1955,Yes,B,314.59
2023.0,4,1,6948.0,1987,Yes,A,343.12
1674.0,3,2,4645.0,2007,Yes,D,280.35
3072.0,2,3,6977.0,1957,Yes,B,395.64
2317.0,4,4,5514.0,2019,No,A,384.82
987.0,4,1,5976.0,2012,No,C,225.39
2093.0,3,3,7073.0,1983,Yes,B,340.21
1669.0,3,2,6121.0,1998,Yes,C,298.6
2426.0,4,3,6374.0,1989,Yes,B,371.47
1604.0,4,3,4416.0,1978,Yes,B,293.4
1943.0,4,1,7247.0,1958,No,B,306.62
2252.0,3,2,6044.0,1970,Yes,B,339.17
2433.0,5,2,5189.0,1981,No,B,388.79
1400.0,5,3,6652.0,2004,Yes,B,320.49
1833.0,2,2,8882.0,1992,Yes,C,280.72
1763.0,4,2,3247.0,1959,Yes,B,293.78
1673.0,3,2,3794.0,1998,Yes,C,259.77
2883.0,3,4,9028.0,1962,Yes,C,402.23
2202.0,4,3,5640.0,1990,No,C,332.12
1370.0,2,2,5286.0,1980,Yes,B,251.42
2459.0,3,3,4827.0,1981,Yes,A,347.24
3061.0,4,3,6813.0,1994,Yes,C,421.74
2516.0,3,3,8917.0,1962,Yes,D,352.84
1240.0,3,1,4002.0,1974,Yes,C,235.83
1758.0,5,2,4855.0,2017,Yes,B,307.05
2633.0,3,2,4474.0,1964,No,B,335.94
1646.0,3,2,6099.0,2013,Yes,C,300.22
2222.0,3,1,6834.0,2009,Yes,D,300.33
2387.0,3,2,7431.0,1957,Yes,A,365.98
1537.0,4,2,6150.0,1966,Yes,A,291.72
1970.0,4,2,8779.0,1954,Yes,D,311.36
379.0,3,2,4138.0,1962,No,B,149.17
1488.0,4,1,3748.0,1970,No,C,238.64
1874.0,3,3,7204.0,1993,Yes,C,307.38
1376.0,3,3,5184.0,2002,Yes,C,258.35
2816.0,4,2,2936.0,1977,Yes,C,377.15
1285.0,4,3,4526.0,2015,Yes,B,282.58
1780.0,3,1,5383.0,1970,Yes,B,290.73
2065.0,2,3,4031.0,2006,No,C,296.82
2721.0,2,1,3478.0,2004,Yes,D,347.14
1282.0,3,2,4689.0,1951,Yes,A,261.12
2582.0,3,2,3403.0,2014,No,B,353.93
2005.0,4,2,5953.0,1952,No,B,313.97
1509.0,2,2,2084.0,2008,Yes,C,240.95
2231.0,4,2,5136.0,2012,Yes,B,371.54
2100.0,3,2,5779.0,1954,No,A,300.75
1700.0,3,3,4864.0,2015,Yes,A,321.75
2035.0,3,2,6640.0,1967,No,C,299.98
1807.0,3,1,2944.0,1958,Yes,B,298.46
2057.0,4,2,3948.0,1971,Yes,B,325.61
2331.0,2,3,4505.0,1977,Yes,B,328.39
2793.0,3,2,6069.0,2009,Yes,A,396.14
1381.0,4,2,5328.0,1961,No,B,251.95
3067.0,4,2,8215.0,1986,No,C,404.32
1024.0,3,2,3791.0,1991,No,C,211.04
1924.0,3,2,2908.0,2003,Yes,C,299.35
2294.0,4,2,7684.0,1991,No,B,350.5
2140.0,5,1,2854.0,2016,No,B,328.56
1689.0,4,2,6025.0,2005,No,C,276.33
1896.0,3,1,3532.0,1995,Yes,A,289.77
1753.0,5,2,1896.0,1954,Yes,C,292.94
1705.0,2,2,4438.0,2005,Yes,D,250.18
2425.0,2,4,6349.0,1972,Yes,B,358.47
2179.0,4,2,3167.0,2011,Yes,A,341.32
1654.0,2,3,5864.0,1962,Yes,B,301.86
2450.0,2,1,6144.0,2008,No,A,360.97
2154.0,3,1,3092.0,1977,Yes,D,289.01
2406.0,3,3,4658.0,1955,Yes,A,353.17
2315.0,4,2,7366.0,2010,Yes,B,368.51
1586.0,4,1,5976.0,2010,No,D,264.69
1720.0,3,2,4608.0,1994,Yes,A,313.39
2374.0,3,2,5623.0,1961,Yes,D,356.01
2305.0,5,3,3972.0,1984,Yes,A,362.87
1990.0,4,1,6671.0,2011,Yes,D,316.27
2059.0,3,2,6670.0,1954,Yes,B,318.72
2639.0,5,3,5181.0,2015,Yes,A,410.32
1704.0,4,4,5346.0,2017,Yes,B,325.8
2274.0,2,3,3502.0,2014,Yes,B,336.52
1899.0,2,2,2972.0,2015,No,A,294.25
1891.0,2,3,4435.0,1990,Yes,B,308.21
2549.0,4,3,4869.0,1976,No,C,355.06
2413.0,2,3,6594.0,1954,Yes,C,322.18
2407.0,3,3,6384.0,1954,Yes,C,337.95
2653.0,2,3,5277.0,1962,Yes,C,356.65
2011.0,5,1,6786.0,1958,No,A,339.6
2341.0,3,1,3585.0,1997,Yes,B,337.08
1845.0,5,3,6616.0,1981,Yes,A,345.98
2162.0,5,2,3814.0,1985,Yes,A,358.26
1935.0,2,1,6860.0,1964,No,C,273.85
2048.0,3,2,4980.0,1958,Yes,C,291.66
2298.0,2,3,2003.0,1965,No,C,290.59
1591.0,5,1,6095.0,1955,Yes,D,273.98
3046.0,3,2,6214.0,1982,Yes,B,412.55
1497.0,2,1,4315.0,1991,Yes,D,250.85
1393.0,2,1,4443.0,2008,Yes,B,271.95
2579.0,3,2,4761.0,1985,Yes,D,324.91
2396.0,5,1,2112.0,1983,Yes,A,353.26
2312.0,4,3,1453.0,1951,No,A,341.48
2314.0,4,3,6952.0,1962,Yes,B,370.21
1994.0,3,3,3764.0,1992,Yes,A,338.16
1551.0,2,1,7783.0,2006,No,A,270.51
2038.0,5,2,7056.0,1956,No,A,329.22
1661.0,2,1,7351.0,2008,Yes,C,286.62
2488.0,5,2,4025.0,2008,Yes,D,352.78
1926.0,3,2,2587.0,2000,Yes,B,291.66
1587.0,2,3,3370.0,1952,Yes,D,244.43
1839.0,4,1,4330.0,1976,Yes,C,287.64
2206.0,5,2,1440.0,2003,Yes,A,359.27
1718.0,5,3,4287.0,2013,Yes,B,330.89
1589.0,2,2,4697.0,1983,No,D,255.85
2122.0,2,3,3058.0,1972,No,C,275.75
2122.0,3,4,3439.0,1997,No,B,323.49
1747.0,4,2,4669.0,2004,Yes,B,315.96
1764.0,4,2,5534.0,1966,No,C,284.87
2116.0,2,3,3664.0,2011,Yes,B,327.47
1276.0,5,1,5438.0,2010,Yes,A,272.85
1296.0,4,2,5205.0,2010,No,B,244.08
1641.0,4,3,5070.0,1993,Yes,C,287.78
1893.0,3,2,4022.0,2020,Yes,A,328.51
2155.0,3,1,3000.0,1952,No,C,257.01
2738.0,5,2,7545.0,2016,No,C,399.17
2429.0,3,3,5945.0,1957,Yes,B,352.12
1920.0,4,1,6509.0,1975,No,B,298.29
1990.0,5,2,4875.0,1964,Yes,D,328.2
1499.0,4,1,4754.0,1954,No,C,260.77
1991.0,3,2,5736.0,1962,Yes,C,295.82
1856.0,2,3,2248.0,1961,No,B,274.77
2161.0,2,3,3328.0,2012,No,A,322.5
1586.0,3,2,3803.0,1957,Yes,B,277.55
2260.0,2,1,4318.0,1983,No,C,286.38
2766.0,3,1,3680.0,1971,No,A,340.63
1946.0,3,1,5499.0,1999,Yes,A,320.46
2201.0,3,2,5122.0,1961,No,B,319.1
2345.0,3,1,7089.0,1971,No,B,325.96
1799.0,2,2,8711.0,2007,Yes,D,303.83
2112.0,2,1,3106.0,1968,Yes,A,315.63
2006.0,4,3,5221.0,1954,Yes,B,338.57
2049.0,3,3,5218.0,1965,Yes,C,318.21
1613.0,3,2,4979.0,1990,Yes,C,263.75
2012.0,4,1,3373.0,1968,Yes,B,286.49
2249.0,4,3,3624.0,2014,No,C,337.13
2726.0,3,4,5361.0,1971,No,A,391.0
2480.0,4,1,3582.0,1966,No,D,309.21
3077.0,5,3,5239.0,1984,No,A,429.19
1616.0,4,3,4631.0,1988,Yes,A,311.89
2436.0,3,2,5212.0,2004,Yes,B,358.83
2092.0,4,2,3570.0,1954,Yes,C,311.22
3095.0,2,2,5236.0,1960,Yes,A,406.82
1596.0,3,2,3679.0,1989,Yes,A,289.9
1580.0,5,2,5241.0,1953,Yes,A,304.69
1700.0,3,3,7009.0,2007,Yes,B,315.7
938.0,5,3,5391.0,2014,Yes,A,282.51
1737.0,3,1,5483.0,2013,No,B,263.25
1620.0,5,2,6226.0,2016,Yes,A,340.66
2075.0,3,2,2895.0,1983,Yes,B,309.46
2171.0,2,1,7578.0,2007,Yes,B,323.84
2938.0,3,2,3417.0,2016,Yes,C,396.7
2475.0,3,3,6319.0,1956,No,A,352.65
1712.0,2,2,6120.0,1984,Yes,B,278.29
1551.0,4,1,3647.0,1978,Yes,C,271.14
2246.0,3,1,6513.0,1974,Yes,D,307.67
1340.0,4,2,5747.0,1977,Yes,B,271.28
2916.0,3,2,7835.0,2018,Yes,B,422.43
2590.0,2,2,5290.0,1976,Yes,C,352.3
1765.0,5,2,4837.0,1957,No,B,280.02
1143.0,3,1,4228.0,1987,Yes,A,245.88
2677.0,4,1,2385.0,1958,Yes,B,336.99
1943.0,4,2,4523.0,1992,No,D,282.35
2619.0,3,1,4586.0,1974,Yes,C,334.75
1203.0,5,3,5393.0,2015,Yes,B,302.23
1700.0,4,1,2865.0,1966,Yes,D,247.19
2003.0,3,2,4641.0,1956,Yes,B,311.69
2023.0,4,2,5864.0,1971,No,B,310.48
1775.0,2,2,6013.0,1959,No,C,244.8
2311.0,3,3,2210.0,1962,Yes,B,320.28
1466.0,5,2,6060.0,1991,No,B,272.9
1929.0,4,3,4630.0,1977,Yes,B,316.38
2060.0,4,2,4722.0,2008,Yes,B,326.72
2257.0,4,2,1453.0,1960,No,C,293.52
2356.0,4,3,7240.0,1958,Yes,A,385.66
1438.0,5,2,5265.0,2004,No,C,265.05
1233.0,3,2,2703.0,1954,Yes,A,233.03
2639.0,2,3,5563.0,2018,Yes,B,372.29
2166.0,3,3,5517.0,1987,No,B,322.94
1626.0,4,2,6834.0,2015,No,D,271.97
2776.0,3,2,4535.0,2013,No,B,356.71
2058.0,2,1,5018.0,1974,Yes,C,297.46
2590.0,3,2,4036.0,2001,Yes,B,369.45
2034.0,5,2,5897.0,1987,No,D,308.32
3030.0,4,3,3825.0,1968,No,A,416.01
2878.0,3,2,3661.0,1974,Yes,C,391.48
1876.0,2,3,4898.0,1997,No,C,295.95
2486.0,3,1,3161.0,2010,No,C,299.65
2323.0,2,2,7403.0,1984,Yes,D,327.17
2684.0,2,3,7891.0,2000,Yes,C,370.34
1518.0,5,1,4320.0,1964,Yes,C,266.66
2343.0,5,1,2920.0,1998,Yes,A,343.42
2529.0,2,2,5505.0,1979,Yes,B,352.17
1121.0,2,3,4277.0,1970,No,B,238.38
1408.0,3,2,6762.0,1990,Yes,D,258.8
980.0,3,2,3819.0,1952,Yes,B,229.25
1865.0,3,2,5817.0,1973,Yes,C,299.62
2359.0,3,2,5171.0,1966,Yes,B,348.01
2751.0,3,3,3986.0,1957,No,C,323.41
2037.0,4,1,5360.0,1955,Yes,A,328.58
2814.0,4,2,6318.0,1958,Yes,B,398.59
1310.0,4,2,5130.0,1964,Yes,B,282.69
1148.0,3,3,5146.0,2013,No,B,236.07
1972.0,5,3,3691.0,1999,No,C,331.33
2192.0,5,3,6716.0,1960,No,A,352.64
1984.0,2,2,6567.0,1995,Yes,C,307.94
966.0,3,1,4384.0,1994,No,B,219.84
1955.0,3,1,4814.0,2008,Yes,C,310.12
1348.0,2,3,7121.0,1974,Yes,B,252.42
2335.0,3,3,3300.0,1961,Yes,A,346.76
2183.0,3,4,5906.0,1975,Yes,B,338.08
1530.0,3,1,4162.0,1986,Yes,C,257.55
1743.0,3,2,7667.0,1972,Yes,C,289.29
1470.0,3,2,5095.0,2014,Yes,B,266.67
1969.0,5,3,6891.0,1994,No,D,309.04
2478.0,3,2,3858.0,1984,Yes,B,354.34
1507.0,4,3,3127.0,1997,No,B,277.77
2252.0,2,2,4649.0,1977,Yes,A,321.5
1735.0,2,1,5394.0,1950,Yes,A,273.03
1604.0,3,1,4234.0,1990,Yes,B,276.97
1946.0,2,1,6137.0,1972,Yes,A,308.88
1482.0,2,2,4685.0,1981,No,B,254.05
1723.0,2,1,1878.0,1956,No,D,219.34
1401.0,3,2,5829.0,2004,Yes,B,284.34
2982.0,4,2,3676.0,1992,Yes,B,399.88
2018.0,3,3,4458.0,1963,Yes,B,321.63
1650.0,4,3,7330.0,1963,Yes,A,337.6
2107.0,2,2,7659.0,1990,No,A,340.57
1944.0,4,1,4137.0,1963,Yes,B,303.47
1890.0,3,1,5867.0,1977,Yes,B,289.93
2307.0,4,4,4172.0,1979,Yes,A,384.56
2379.0,5,2,4570.0,2003,Yes,B,346.57
1735.0,5,1,4091.0,2008,No,B,299.86
1712.0,2,3,2413.0,1961,Yes,C,266.18
1862.0,4,2,5143.0,1988,Yes,B,317.55
849.0,2,3,5432.0,2019,No,B,223.74
1242.0,5,2,3993.0,2016,Yes,C,256.92
2683.0,3,2,6632.0,1964,Yes,B,362.49
2822.0,3,2,4346.0,1953,Yes,D,336.59
1875.0,2,3,4044.0,1993,No,A,285.55
2288.0,2,3,5790.0,1988,No,C,310.36
2156.0,4,2,2686.0,2019,No,A,330.84
3539.0,5,1,6360.0,1986,Yes,B,468.7
2560.0,4,2,4397.0,2007,Yes,B,394.45
1936.0,4,4,6484.0,1981,Yes,A,345.32
1522.0,4,2,6932.0,1977,No,C,269.77
1197.0,3,3,5960.0,1953,Yes,B,256.45
2102.0,2,2,3782.0,1959,Yes,B,291.88
1622.0,2,2,3124.0,1976,No,B,244.55
1289.0,3,2,2849.0,1985,Yes,B,265.79
1677.0,3,3,6654.0,1954,Yes,C,299.6
1459.0,2,3,4798.0,1999,No,A,282.61
2844.0,2,2,4101.0,1981,No,C,348.86
2441.0,2,2,4802.0,1972,Yes,B,345.37
1996.0,5,2,6621.0,2010,Yes,B,355.42
2740.0,2,1,6168.0,1950,Yes,A,379.02
2039.0,3,3,5658.0,1980,Yes,B,300.23
1569.0,3,2,5957.0,1968,Yes,B,270.76
2762.0,3,3,5270.0,2003,No,A,372.43
2269.0,2,3,5453.0,1983,Yes,D,310.86
1481.0,3,3,5332.0,1953,No,D,240.57
1905.0,2,3,5000.0,1997,No,B,294.06
1562.0,3,2,6130.0,1997,Yes,A,292.18
1309.0,2,3,5542.0,1998,Yes,D,247.52
2463.0,3,1,3679.0,2009,Yes,C,339.59
2955.0,4,2,5793.0,1993,No,A,409.55
1301.0,3,3,5371.0,1983,No,B,262.45
2281.0,3,2,5917.0,2005,Yes,C,333.33
1675.0,3,3,4844.0,1955,No,A,293.73
1756.0,4,3,6218.0,1985,Yes,A,330.35
1704.0,3,3,4908.0,1984,No,B,292.59
1568.0,4,2,6086.0,1974,Yes,A,297.75
2024.0,4,2,4315.0,1998,No,A,341.06
1585.0,3,2,4419.0,2004,No,A,286.14
2135.0,3,3,5903.0,1990,No,D,307.44
1975.0,3,2,4502.0,2006,No,C,281.18
1881.0,2,2,8309.0,1971,Yes,B,320.19
1546.0,2,2,5850.0,1993,Yes,B,265.98
1712.0,2,1,5037.0,1978,Yes,C,285.72
2378.0,2,1,6230.0,2020,Yes,B,352.72
2250.0,3,1,4279.0,1997,Yes,A,325.45
1511.0,4,2,6385.0,1952,Yes,C,276.54
2050.0,3,3,6343.0,1994,Yes,A,367.59
2376.0,5,1,6880.0,1969,Yes,B,363.04
1165.0,5,1,4339.0,1985,Yes,D,234.81
2272.0,5,2,3166.0,2009,Yes,A,369.4
1669.0,4,3,4085.0,1967,Yes,C,280.5
2285.0,3,1,4578.0,2015,Yes,A,361.53
1618.0,2,2,7501.0,1980,No,D,243.38
1098.0,3,1,8293.0,1958,Yes,C,239.02
1186.0,3,2,5517.0,1969,Yes,D,241.67
