brand,fuel_type,transmission,seller_type,car_age_years,mileage_km,engine_size_l,horsepower,previous_owners,price_k
Toyota,Petrol,Automatic,Dealer,5.1,105513,2.4,119.0,3,12.57
BMW,Petrol,Automatic,Dealer,4.8,114767,1.3,134.0,1,18.08
Mercedes,Hybrid,Manual,Dealer,7.8,95783,1.8,141.0,1,21.74
Nissan,Petrol,Manual,Individual,9.2,116822,2.2,85.0,3,5.14
Honda,Electric,Automatic,Certified,4.2,107311,1.7,164.0,1,23.8
Nissan,Petrol,Automatic,Certified,3.7,62629,1.5,82.0,1,16.34
Toyota,Petrol,Manual,Individual,0.5,63708,1.2,157.0,1,17.02
Toyota,Petrol,Automatic,Dealer,3.8,89250,1.5,142.0,2,14.77
Hyundai,Petrol,Manual,Certified,10.8,159159,1.7,205.0,2,4.5
Toyota,Petrol,Manual,Individual,12.5,96243,2.3,140.0,1,5.47
Nissan,Electric,Automatic,Individual,8.8,82036,2.0,181.0,1,18.76
Honda,Petrol,Automatic,Dealer,7.0,38918,1.6,86.0,1,14.78
Toyota,Hybrid,Manual,Certified,7.4,88195,1.5,185.0,3,17.99
Mercedes,Petrol,Manual,Individual,5.1,92014,2.2,184.0,1,21.0
Ford,Diesel,Automatic,Dealer,3.5,32245,1.5,184.0,2,19.84
Nissan,Diesel,Manual,Dealer,11.4,72355,1.1,148.0,1,8.41
Ford,Petrol,Manual,Dealer,6.1,85142,1.0,75.0,4,4.86
Toyota,Petrol,Manual,Dealer,5.1,92112,2.0,215.0,3,13.81
Toyota,Petrol,Automatic,Certified,6.1,79776,1.1,156.0,1,14.13
Toyota,Petrol,Automatic,Dealer,8.0,118145,1.3,126.0,2,7.16
Honda,Diesel,Manual,Dealer,8.4,82510,1.7,181.0,3,12.91
Honda,Petrol,Automatic,Individual,2.3,86498,1.3,143.0,2,13.17
Toyota,Petrol,Automatic,Individual,1.9,97747,2.2,196.0,2,17.86
Kia,Petrol,Automatic,Dealer,9.9,103429,2.0,147.0,3,4.5
Hyundai,Petrol,Manual,Certified,3.0,83678,2.3,155.0,1,19.13
Ford,Petrol,Manual,Individual,10.3,100866,1.0,95.0,1,4.59
Nissan,Petrol,Automatic,Individual,8.1,68922,1.5,119.0,2,12.17
Hyundai,Electric,Automatic,Dealer,7.8,79319,2.0,192.0,1,26.39
Hyundai,Diesel,Automatic,Dealer,1.1,69171,1.8,107.0,2,18.72
Mercedes,Petrol,Automatic,Dealer,3.5,52242,1.3,132.0,1,27.24
Ford,Diesel,Automatic,Certified,3.2,26256,2.1,173.0,4,21.48
Honda,Petrol,Manual,Individual,6.3,101603,1.0,98.0,2,4.71
Nissan,Diesel,Automatic,Dealer,0.0,79342,1.4,176.0,2,20.97
BMW,Electric,Manual,Dealer,9.9,109071,2.2,175.0,1,22.73
Ford,Petrol,Automatic,Dealer,6.1,118331,1.3,84.0,1,6.96
Honda,Petrol,Manual,Individual,7.6,103665,2.0,80.0,1,4.99
Ford,Electric,Automatic,Individual,2.9,50626,1.9,195.0,2,27.57
Ford,Diesel,Manual,Dealer,3.9,89666,2.2,205.0,1,19.54
Ford,Diesel,Automatic,Individual,7.0,88092,2.3,172.0,1,15.9
BMW,Hybrid,Manual,Individual,2.4,55456,2.0,175.0,1,31.75
Ford,Hybrid,Manual,Individual,7.3,137099,1.5,151.0,1,10.85
BMW,Diesel,Automatic,Individual,4.3,66315,1.1,79.0,1,22.4
Mercedes,Petrol,Automatic,Individual,6.9,72704,1.7,250.0,1,30.85
Toyota,Petrol,Automatic,Dealer,4.8,107512,1.5,176.0,1,16.58
Mercedes,Diesel,Manual,Individual,8.7,80275,2.2,146.0,2,18.39
Honda,Petrol,Automatic,Individual,5.2,92247,1.0,87.0,1,13.59
Nissan,Diesel,Automatic,Individual,0.0,113099,2.1,127.0,2,16.65
BMW,Petrol,Automatic,Individual,9.8,111478,2.0,149.0,1,17.83
Honda,Electric,Manual,Individual,5.7,105701,1.4,181.0,2,19.31
Nissan,Petrol,Automatic,Individual,7.1,147719,2.2,197.0,2,9.74
Toyota,Electric,Manual,Certified,0.4,49110,1.5,138.0,1,32.82
Nissan,Hybrid,Manual,Individual,1.4,72797,1.4,129.0,2,16.56
Nissan,Petrol,Manual,Dealer,6.4,107966,1.4,81.0,1,6.05
Hyundai,Diesel,Automatic,Dealer,6.3,87633,1.1,75.0,4,8.1
Ford,Petrol,Manual,Dealer,8.2,112473,1.7,166.0,2,7.58
Ford,Electric,Automatic,Individual,3.9,115192,1.9,195.0,1,26.92
Toyota,Petrol,Manual,Individual,5.8,133112,1.0,106.0,1,4.5
Toyota,Electric,Manual,Certified,2.3,80410,2.0,197.0,2,34.16
Hyundai,Petrol,Manual,Dealer,1.8,89332,1.4,147.0,2,10.39
Nissan,Petrol,Manual,Individual,10.1,134014,2.0,240.0,1,7.67
Ford,Petrol,Automatic,Dealer,5.4,103874,1.9,92.0,1,12.54
Toyota,Diesel,Manual,Individual,9.9,102496,1.3,134.0,1,7.58
Kia,Hybrid,Automatic,Individual,7.0,82834,1.9,92.0,1,14.65
Kia,Petrol,Automatic,Individual,1.5,67292,1.9,136.0,1,18.24
Honda,Diesel,Automatic,Individual,0.9,68454,2.1,186.0,4,23.68
Hyundai,Hybrid,Automatic,Dealer,5.1,93718,2.1,215.0,2,21.79
Toyota,Electric,Automatic,Individual,3.9,139915,1.0,124.0,3,18.41
Toyota,Hybrid,Automatic,Dealer,0.9,81934,2.0,198.0,2,25.68
Mercedes,Diesel,Automatic,Certified,7.0,123218,1.3,166.0,1,25.78
Ford,Petrol,Automatic,Individual,3.3,58721,2.4,176.0,2,21.97
Hyundai,Diesel,Automatic,Individual,7.8,73739,1.7,91.0,1,10.73
Ford,Hybrid,Manual,Individual,5.1,170617,1.5,117.0,2,5.63
Nissan,Electric,Automatic,Certified,0.0,84198,1.1,199.0,2,33.03
Kia,Diesel,Manual,Individual,12.0,91803,2.2,198.0,2,8.82
Nissan,Petrol,Automatic,Certified,4.7,110738,1.0,75.0,1,10.69
Honda,Diesel,Manual,Dealer,0.0,114114,2.7,183.0,1,19.54
Nissan,Petrol,Manual,Dealer,3.4,75168,2.9,222.0,1,14.3
Kia,Petrol,Automatic,Certified,4.2,109767,1.7,130.0,2,9.69
Toyota,Electric,Manual,Dealer,7.2,87898,2.1,146.0,1,20.18
Toyota,Petrol,Manual,Individual,6.2,117187,1.3,156.0,1,6.01
Honda,Diesel,Manual,Certified,3.5,23022,2.1,214.0,2,23.52
Honda,Petrol,Automatic,Dealer,5.2,114251,1.7,142.0,1,13.5
Honda,Hybrid,Manual,Individual,4.4,79077,2.2,189.0,1,22.2
Toyota,Petrol,Manual,Dealer,4.9,73127,2.2,139.0,3,11.13
Ford,Petrol,Manual,Individual,6.6,80503,2.5,114.0,1,9.54
Honda,Diesel,Automatic,Individual,4.5,57828,2.0,134.0,1,16.14
