age,income_k,credit_score,tenure_years,monthly_spend,satisfaction_score,target_class
29,57.75,804,3.3,796.47,6.78,1
21,49.14,601,6.26,1147.37,5.63,0
36,46.95,725,5.76,876.29,8.14,1
30,49.28,675,4.95,421.45,8.63,1
37,72.36,645,5.95,1094.52,5.7,0
35,52.68,755,8.29,1082.96,4.75,0
51,93.74,578,3.84,909.49,4.48,0
33,66.24,514,4.96,726.59,7.11,0
25,44.85,696,8.95,644.75,7.38,1
37,54.5,670,7.41,727.22,7.11,0
37,47.97,585,9.84,943.74,7.24,0
49,72.0,560,10.31,494.42,5.65,1
43,35.42,815,1.92,993.37,3.51,0
39,39.89,712,6.86,915.96,5.75,0
50,51.13,681,4.48,1183.2,8.98,0
23,70.24,834,2.4,1054.27,6.9,1
29,78.5,752,3.63,740.93,7.14,1
26,80.71,804,5.1,528.0,7.86,1
31,67.95,597,5.12,719.33,5.24,0
21,58.76,595,4.18,1203.87,6.84,0
41,71.92,723,5.96,964.76,7.27,1
33,42.83,709,13.34,1031.41,5.1,0
20,32.33,767,0.82,761.58,7.05,0
25,66.55,566,9.41,1006.65,8.44,1
38,44.91,729,5.94,565.56,5.9,1
43,59.02,749,4.69,1105.74,3.92,1
55,61.79,746,0.0,645.81,6.76,1
64,63.72,652,8.29,465.63,5.52,1
39,74.07,716,1.68,1397.71,6.77,0
25,72.48,626,8.48,929.68,5.24,0
18,62.93,659,11.22,923.59,6.59,1
38,53.37,607,2.15,488.61,8.34,0
27,61.62,627,9.51,1036.96,6.46,0
31,51.06,663,6.08,1094.92,4.03,0
29,57.05,646,0.0,856.16,7.06,0
34,99.27,627,2.39,1095.78,6.53,0
46,62.73,589,6.53,1157.51,6.82,0
37,66.75,817,7.2,1015.66,7.96,1
33,49.42,645,1.26,423.43,5.71,0
25,75.3,703,6.1,646.65,6.07,1
18,71.4,557,8.47,1271.12,4.96,0
30,71.51,775,9.0,918.12,6.79,1
34,63.22,692,4.76,919.11,6.75,1
53,75.51,649,7.32,717.04,6.11,0
36,79.08,650,9.22,759.76,7.62,1
45,64.25,741,8.56,1162.38,4.94,0
30,58.28,500,8.67,1229.66,6.69,0
23,73.42,622,6.34,1075.39,7.4,0
25,46.44,672,5.72,1021.35,5.69,0
28,49.23,671,6.82,1037.86,4.44,0
56,59.2,850,3.71,884.52,3.96,1
27,33.88,656,9.34,635.19,6.73,0
43,72.41,749,1.41,587.64,9.04,1
26,45.56,807,4.49,1189.25,5.59,1
44,52.93,727,5.89,892.76,7.18,1
39,56.8,633,7.41,1004.96,2.86,0
33,60.59,590,7.97,946.37,7.06,0
35,54.85,732,10.47,957.53,4.87,0
28,58.99,795,6.23,975.89,5.91,1
39,59.11,718,3.85,1053.43,6.62,1
30,53.29,766,5.56,731.14,4.01,1
23,48.4,850,5.04,1160.13,10.0,1
22,76.22,739,7.56,737.7,5.59,1
37,28.43,603,2.8,952.68,7.41,0
51,56.91,684,5.47,639.74,8.74,1
37,52.97,776,10.87,863.34,6.94,1
34,66.28,663,6.54,754.84,4.66,0
38,38.19,785,2.84,905.33,6.65,0
48,52.5,675,4.98,1061.79,3.74,0
37,58.46,703,0.0,916.73,6.0,0
31,76.05,655,5.82,1331.39,9.02,1
46,64.98,691,10.94,1075.1,4.38,0
39,42.25,695,2.44,849.74,5.26,0
50,52.69,567,1.63,881.06,9.28,1
37,73.29,649,4.04,983.11,6.24,0
23,41.99,594,8.76,1054.95,5.16,0
21,58.82,652,11.11,628.51,7.08,1
52,59.86,624,7.34,1040.06,5.8,0
52,54.21,751,2.14,634.22,2.43,0
33,100.44,752,5.93,1018.77,4.46,0
31,53.81,719,11.37,1142.02,9.59,1
50,66.75,591,5.07,965.94,6.99,0
24,48.51,673,6.42,388.34,8.7,1
26,67.92,586,6.72,507.88,4.96,1
41,73.06,670,1.36,1023.8,6.42,0
31,51.18,725,8.99,360.17,6.25,1
35,59.18,749,8.56,1034.17,5.68,1
33,46.57,713,0.02,1116.66,6.82,0
38,42.83,768,2.01,1149.74,4.83,0
49,75.55,698,3.09,846.88,8.31,1
36,51.69,664,8.25,996.47,7.2,0
41,23.8,741,3.75,945.96,6.24,0
18,86.48,743,7.2,575.98,6.7,1
35,47.97,643,5.45,1063.9,6.05,0
27,56.3,707,6.21,1205.9,3.91,0
23,84.61,659,7.49,1051.67,5.01,1
26,57.87,539,6.82,789.38,6.23,1
32,57.55,711,5.94,1062.79,5.97,0
44,41.58,589,6.98,1185.48,7.47,0
22,35.48,703,6.65,1156.57,7.34,0
35,57.5,573,5.37,1125.91,5.66,0
30,65.44,630,4.71,549.79,5.06,1
32,64.58,650,11.64,987.61,7.63,1
45,52.78,764,4.67,1042.04,6.78,0
40,60.3,643,10.1,1128.51,5.57,0
48,32.44,605,3.94,1013.44,4.79,0
33,66.9,706,8.43,1241.43,5.49,0
28,62.42,665,11.35,497.87,7.09,1
33,89.6,735,4.99,1022.84,9.03,1
37,60.11,609,4.0,1005.38,6.18,0
37,45.86,695,4.71,1098.6,5.25,0
24,59.24,850,5.94,1239.27,9.74,1
36,55.08,663,6.97,704.58,5.94,1
37,66.52,693,5.88,1231.88,5.31,0
60,60.4,564,4.74,1079.28,5.89,0
54,41.1,620,11.86,858.82,5.81,0
26,35.46,712,5.4,700.07,8.41,1
32,63.94,657,4.14,943.19,3.99,0
20,80.75,723,8.49,962.85,7.39,1
29,61.19,710,8.54,975.06,6.48,1
38,72.2,588,10.24,762.07,5.66,1
47,75.19,751,11.78,1034.05,6.0,1
28,64.0,593,7.04,810.78,6.12,0
28,47.78,626,5.14,1167.65,6.63,0
18,62.93,696,0.29,1276.25,5.82,0
33,78.11,790,3.19,721.23,6.4,1
24,67.95,610,6.63,913.18,5.33,0
30,71.22,690,2.46,1113.88,9.77,1
26,53.06,691,1.24,960.69,8.01,0
34,56.96,726,6.2,602.44,7.23,1
18,58.22,763,8.33,1090.26,5.83,1
20,59.23,652,5.26,766.73,7.73,1
56,77.52,751,8.69,944.1,6.95,1
22,24.79,773,7.85,681.31,6.68,1
24,60.46,805,9.45,1074.81,5.7,1
53,58.81,715,12.52,807.37,6.91,1
64,39.43,691,13.84,1098.09,9.03,1
23,70.08,647,8.2,852.73,6.62,0
31,49.13,578,4.62,794.13,6.1,0
38,54.64,661,6.19,990.69,6.65,0
52,87.73,688,10.72,663.64,6.57,1
25,75.15,672,3.32,1295.61,5.68,0
33,68.62,722,10.34,940.84,5.39,1
43,65.71,578,5.49,775.42,7.69,0
39,57.53,667,6.68,812.15,8.31,1
31,89.99,820,3.58,903.87,9.9,1
34,72.03,750,2.03,1119.08,7.19,1
21,48.76,723,5.16,703.21,6.68,1
33,39.0,707,9.91,818.87,7.85,1
32,68.5,654,3.89,889.11,5.14,0
37,59.16,557,10.84,1239.34,7.46,0
29,38.57,712,4.28,1119.81,8.06,0
40,66.43,509,2.8,1249.84,8.04,0
45,55.96,657,6.76,906.83,9.0,1
37,67.96,680,8.04,1215.21,5.6,0
39,66.63,649,6.56,1178.8,5.76,0
36,50.88,832,6.45,1053.29,6.18,1
35,69.49,808,10.81,1070.94,4.83,1
28,52.53,752,6.28,769.19,7.31,1
38,53.51,615,4.59,1302.23,7.51,0
34,52.02,814,2.6,846.07,7.34,1
56,76.96,723,9.82,1023.13,6.72,0
51,55.79,614,4.72,1048.87,8.01,0
39,80.59,682,5.02,598.3,7.36,1
27,86.75,747,9.16,888.76,5.6,1
24,48.92,638,12.16,944.74,2.08,0
47,20.0,690,6.75,875.06,6.0,0
38,75.67,702,5.59,891.37,6.56,1
40,54.87,603,5.98,1228.39,6.57,0
18,47.01,661,4.63,718.03,6.23,0
44,51.17,608,4.93,620.87,5.69,0
40,53.78,741,4.95,770.97,5.23,1
24,79.46,616,8.73,1063.73,4.95,0
30,62.4,700,5.74,1085.17,7.15,0
38,79.25,583,10.08,1033.32,8.13,1
36,67.41,601,5.65,1100.6,4.62,0
32,55.36,597,4.9,956.33,6.41,0
34,54.14,660,9.83,786.04,7.68,1
32,68.42,693,6.06,692.07,6.22,0
37,72.31,706,5.62,622.33,7.57,1
50,74.95,556,6.1,850.02,8.12,0
18,56.08,668,10.4,1073.44,7.09,1
33,62.63,627,6.92,952.12,5.76,0
37,68.76,717,9.75,905.05,8.47,0
38,54.24,661,5.3,667.82,6.1,0
31,42.98,674,9.27,1467.44,6.1,0
18,47.91,628,6.71,718.4,7.27,0
38,56.38,801,8.65,926.53,6.05,1
52,69.93,590,8.9,1120.66,6.16,0
20,78.88,652,3.18,909.31,5.94,1
44,39.66,688,6.22,722.47,6.23,0
32,51.04,662,8.87,1077.91,6.8,0
34,54.63,627,9.35,605.3,3.54,0
24,71.92,553,9.76,1283.25,6.35,0
32,52.08,632,6.31,962.09,3.85,0
48,53.55,613,10.62,844.25,5.89,0
41,38.82,798,4.03,588.4,7.01,1
52,67.25,839,1.52,646.56,6.01,1
47,57.58,676,5.17,888.54,7.55,1
39,50.19,582,9.59,1316.4,7.02,0
52,56.11,732,2.74,951.25,3.27,0
39,76.9,611,1.59,976.35,8.3,0
43,44.93,642,0.84,984.94,6.87,0
32,47.38,636,8.21,1420.09,5.65,0
36,78.78,645,1.66,802.89,5.8,0
28,61.14,655,7.65,1244.4,3.37,0
45,70.05,588,5.02,812.31,6.83,0
23,66.03,631,3.69,745.21,7.48,1
43,59.47,751,3.0,882.49,5.48,0
33,54.78,678,6.62,881.4,5.14,1
47,72.47,689,3.74,1023.64,6.71,1
43,77.44,524,5.99,388.72,8.29,1
53,76.26,746,7.2,932.53,8.14,0
42,42.22,632,7.84,768.28,7.74,1
19,79.57,759,8.8,740.73,9.53,1
34,54.63,691,6.49,614.93,7.89,1
23,48.67,641,2.85,819.74,8.23,1
30,57.46,563,7.4,786.35,6.63,0
50,72.47,832,7.97,806.14,5.98,1
41,68.11,736,5.46,539.51,8.2,1
28,56.17,740,5.14,921.59,5.03,0
25,72.56,807,13.43,725.84,7.14,1
35,62.1,696,2.12,540.29,5.59,0
23,51.41,775,7.48,779.4,7.01,1
28,49.38,646,9.14,729.7,6.9,0
38,66.15,732,4.98,909.05,6.74,1
47,58.76,636,5.49,776.47,6.47,0
41,39.37,645,4.8,581.1,7.3,0
18,72.71,687,6.0,704.56,7.54,1
38,52.8,591,8.7,520.14,4.4,0
36,83.88,703,5.41,1150.17,6.43,1
39,38.96,658,15.33,1185.53,5.87,1
51,57.29,541,4.64,1212.16,6.79,0
18,49.5,648,10.13,770.23,5.88,0
29,45.37,656,7.63,1185.36,8.41,0
41,52.7,740,6.33,989.54,6.4,0
19,86.56,700,10.41,719.13,7.98,1
50,62.15,781,1.2,761.73,5.07,1
39,48.12,716,7.28,862.16,6.08,0
43,32.57,641,3.85,922.54,5.58,0
29,34.18,676,4.69,979.84,7.09,0
43,51.95,656,4.55,899.61,4.72,0
46,50.49,714,3.11,823.33,3.94,0
37,56.64,684,1.04,1197.46,5.56,0
37,25.92,636,7.17,874.97,7.34,0
38,58.62,681,5.8,862.37,5.29,1
26,75.42,712,5.1,852.2,6.9,1
34,84.34,610,8.28,875.1,5.53,0
33,31.58,702,7.36,600.27,3.87,0
39,47.98,569,5.2,679.32,7.78,0
45,47.19,757,15.15,1438.12,7.47,1
24,62.19,717,9.05,536.91,6.44,1
34,41.7,794,13.33,959.79,6.56,1
50,85.23,602,4.76,975.36,6.19,0
28,60.65,759,6.75,1122.8,4.95,0
27,58.15,746,2.29,980.69,8.46,1
37,83.89,667,5.01,1315.99,6.35,1
43,59.76,654,4.25,952.72,7.04,1
35,66.0,604,14.99,1196.53,5.75,1
48,48.74,586,3.92,1128.79,7.16,0
44,39.44,627,5.3,1239.24,8.22,0
43,50.84,592,1.64,905.46,6.75,0
41,92.8,792,7.6,987.54,7.04,1
58,69.5,575,3.3,818.78,7.82,0
33,64.12,690,8.76,935.15,7.56,1
18,45.35,710,0.64,947.3,8.07,0
51,73.67,705,5.64,442.97,6.98,1
30,39.63,711,0.46,868.51,6.98,0
36,36.49,746,4.53,1095.77,6.86,0
48,51.62,649,5.14,602.96,7.8,1
19,89.32,686,4.2,683.0,5.85,0
22,88.47,659,4.5,1154.24,7.3,0
19,53.23,771,8.91,1195.49,9.95,1
27,49.89,827,12.52,763.43,7.04,1
39,35.39,596,7.02,938.28,4.7,0
40,61.17,538,3.42,882.83,6.06,0
38,62.43,720,6.19,1158.93,7.43,0
21,71.84,755,4.94,782.66,5.49,1
18,73.66,817,8.67,816.7,5.03,1
36,57.04,732,6.86,1194.97,4.43,0
30,68.34,778,1.27,679.27,6.19,1
40,49.49,796,9.29,790.45,8.92,1
42,68.06,783,8.9,929.24,5.7,1
36,52.39,742,10.49,1235.23,7.81,1
43,66.89,590,4.45,637.44,6.08,0
37,65.68,679,6.9,743.67,5.92,0
40,61.03,701,2.45,1030.36,7.28,0
28,71.92,673,5.85,1064.33,4.2,0
33,36.44,677,7.19,946.54,9.0,0
37,44.03,790,4.09,874.32,7.31,1
43,55.95,627,7.03,928.52,8.08,1
31,38.35,736,6.5,568.4,6.11,1
40,53.9,702,4.65,922.31,7.24,0
32,54.38,620,10.19,1226.07,7.9,0
34,79.65,605,5.3,609.57,6.36,1
43,62.14,561,6.4,727.51,5.19,0
18,75.44,714,1.6,812.69,5.09,1
22,64.53,676,7.56,826.54,5.87,0
20,51.96,622,4.57,1305.1,6.84,0
18,62.01,549,8.87,694.98,6.26,0
28,70.94,710,2.07,651.02,5.77,1
42,77.9,668,7.29,1069.64,7.52,1
32,58.02,630,0.0,757.69,5.81,0
37,35.29,613,7.85,1073.29,5.6,0
46,34.23,663,5.48,856.65,7.91,1
48,55.1,713,7.2,1000.98,7.33,1
34,24.93,657,4.2,555.07,4.66,0
49,86.93,597,3.15,1000.24,4.5,0
36,68.95,676,4.7,947.92,4.84,0
27,50.46,753,6.58,843.82,6.45,1
29,43.36,683,7.73,628.8,8.27,1
20,75.42,685,6.91,947.7,8.67,1
26,43.3,657,3.19,1059.29,7.63,0
31,44.73,618,11.51,783.15,9.37,1
43,48.51,615,7.0,787.47,6.8,1
52,61.71,564,4.13,1074.66,8.16,0
21,69.31,763,7.27,1276.25,5.64,1
39,77.89,712,6.77,1106.72,4.17,0
25,75.67,686,5.47,950.48,6.04,1
40,60.01,701,5.12,846.49,6.31,1
34,75.31,704,8.95,893.95,10.0,1
18,49.94,629,11.18,608.39,6.5,1
44,32.69,657,0.0,866.04,4.97,0
29,49.93,647,9.69,1146.37,7.95,1
30,47.91,850,6.06,908.72,5.36,1
24,50.52,751,6.71,762.39,6.72,1
28,45.61,692,10.05,742.04,7.82,1
39,53.08,776,0.0,893.01,5.1,0
33,69.3,767,8.44,628.38,8.78,1
38,85.73,583,9.85,700.12,8.19,1
39,34.12,664,3.93,1237.22,7.03,0
48,40.68,679,1.82,672.06,9.13,1
32,48.13,723,10.92,723.66,5.93,1
20,71.49,664,0.73,964.09,7.69,1
46,56.93,673,7.26,802.81,6.92,0
32,49.14,648,9.07,919.5,5.54,0
46,70.75,753,7.19,1089.83,5.59,1
39,74.35,579,7.69,559.64,9.55,1
34,59.72,650,5.2,1065.93,8.09,1
38,47.76,551,7.39,771.87,7.83,0
55,64.05,608,3.87,837.06,5.56,0
56,56.5,702,4.26,1322.86,7.56,0
36,56.38,704,6.11,591.42,5.95,1
37,52.31,658,1.38,1029.95,9.05,1
46,73.87,759,7.73,1148.17,8.32,1
27,63.75,775,0.0,749.62,7.88,1
38,75.54,675,7.09,753.1,7.73,1
35,80.04,698,7.37,818.89,6.37,1
38,66.88,648,3.62,748.32,7.23,0
27,52.4,724,2.3,914.62,8.81,1
19,75.6,596,4.78,1096.37,7.2,0
18,66.98,806,7.92,820.09,5.24,1
24,99.05,760,7.04,1104.28,8.38,1
30,64.65,596,2.67,1208.22,5.48,0
32,70.47,625,6.32,994.83,6.46,0
54,64.36,709,6.79,1015.61,5.79,0
46,58.51,656,6.66,769.33,2.59,0
25,56.12,718,3.04,322.95,6.76,1
38,64.41,655,6.47,1028.86,9.76,1
31,67.82,787,8.75,1075.22,6.98,1
32,77.32,681,7.61,953.34,10.0,1
37,64.63,849,7.23,1100.15,6.27,1
41,53.06,722,10.93,779.38,6.83,1
32,55.1,586,6.5,1014.07,6.34,0
46,40.16,826,3.47,1223.87,6.59,0
24,84.92,757,3.48,1046.45,7.05,1
35,51.88,707,6.53,1195.41,8.77,1
61,74.51,725,1.69,1196.81,5.24,0
37,64.15,597,5.07,631.3,6.51,0
49,64.56,554,7.39,1058.22,7.42,0
36,58.24,677,9.51,760.97,8.42,1
41,48.18,777,1.37,656.35,3.26,0
34,45.47,708,6.3,837.16,4.4,0
33,85.93,800,5.8,1285.91,6.56,1
27,61.71,772,6.11,780.36,8.18,1
39,76.88,681,6.42,513.19,5.78,1
26,80.77,763,5.9,582.19,7.5,1
42,53.84,787,10.18,1005.24,9.47,1
46,66.35,674,9.73,733.06,6.52,1
39,60.68,665,12.43,450.5,6.16,1
32,42.64,690,5.97,590.88,7.21,1
40,57.22,511,4.77,936.72,6.77,0
32,68.81,700,3.1,1071.49,6.88,0
44,52.51,730,4.44,801.94,6.23,0
18,55.13,690,8.14,1042.78,6.11,1
32,57.4,704,8.61,1101.28,4.99,0
18,91.67,677,8.03,727.58,7.42,1
20,32.49,540,4.01,873.33,4.94,0
49,67.52,796,4.02,767.89,5.27,1
44,56.2,654,11.87,1018.55,4.7,0
28,50.39,637,3.5,765.31,6.01,0
20,55.83,775,10.25,633.1,6.54,1
18,70.01,749,7.21,911.57,4.85,1
30,70.87,699,3.8,1144.28,6.1,1
59,62.79,734,2.45,1012.33,6.74,1
39,76.39,599,3.93,1121.5,4.15,0
29,79.03,674,7.25,1102.18,5.36,0
40,72.25,771,3.27,909.27,9.21,1
19,51.81,633,10.66,768.55,5.44,1
32,67.42,610,5.38,708.66,7.56,1
36,67.49,686,8.1,550.95,5.74,1
34,47.77,687,7.86,1161.7,6.8,0
43,36.46,725,10.87,827.27,5.3,1
38,29.66,584,4.69,524.95,3.65,0
42,61.05,502,6.32,1171.55,5.84,0
28,64.47,744,1.8,920.74,7.16,1
44,42.27,604,6.31,1112.91,7.52,0
51,75.69,637,9.42,842.46,6.71,1
25,62.28,527,6.66,725.48,5.33,0
26,80.24,752,12.94,998.06,7.88,1
48,65.56,705,7.56,1016.3,5.42,0
33,44.0,702,4.38,838.42,5.51,1
49,66.87,701,7.37,1188.98,5.03,0
31,70.05,536,1.61,1108.0,5.87,0
50,51.79,611,3.6,1024.25,6.06,0
36,38.37,648,2.35,655.81,6.94,0
38,61.5,628,6.05,624.81,4.47,0
51,44.99,661,5.82,1163.78,5.81,0
31,76.81,697,9.62,418.56,5.3,1
26,53.89,750,5.7,879.98,7.14,1
31,85.87,576,2.99,932.26,6.95,0
40,28.14,679,10.68,792.26,4.96,0
19,62.02,730,0.0,892.23,7.24,0
41,81.44,615,6.12,992.47,6.42,0
30,46.65,667,6.65,770.81,7.69,0
46,57.61,713,5.97,1093.91,5.53,0
18,53.95,681,7.5,1028.14,7.39,1
27,49.74,727,6.33,860.41,7.8,1
18,63.67,687,7.5,718.19,6.6,1
27,40.57,658,4.19,880.05,9.65,1
37,58.34,598,1.62,1364.35,7.24,0
33,67.74,697,5.86,733.37,9.14,1
32,56.77,687,2.92,1236.77,10.0,0
33,45.0,611,3.81,513.86,3.99,0
37,75.45,721,9.48,710.63,8.23,1
25,70.95,769,10.67,780.62,7.27,1
42,44.38,634,9.43,1108.8,6.87,0
42,40.59,629,8.87,912.18,5.51,0
39,45.72,627,6.18,1188.22,5.16,0
41,68.18,562,9.05,826.82,4.92,0
38,64.13,820,7.07,888.15,9.83,1
55,71.85,649,11.84,827.69,7.23,1
34,55.11,620,3.25,1345.81,4.46,0
32,46.13,601,8.02,653.55,4.92,1
27,73.78,653,2.21,788.2,3.46,0
25,51.7,631,8.04,684.85,8.29,1
23,62.8,781,0.84,1026.13,6.57,0
26,36.75,593,2.36,648.98,7.26,0
34,51.45,572,2.15,1300.87,6.5,0
38,75.14,719,6.76,917.75,7.92,0
36,49.26,672,7.06,990.72,5.9,0
27,72.22,664,13.35,1001.88,6.94,1
44,25.03,719,5.73,895.59,6.91,1
42,51.61,690,8.32,926.77,4.76,1
33,57.43,677,6.48,918.64,5.42,0
28,86.14,582,8.07,1014.23,6.05,0
40,42.46,563,6.43,719.08,6.98,0
37,70.06,631,9.3,681.74,8.58,1
21,75.85,604,2.84,1080.61,6.67,1
34,49.18,699,0.0,899.58,6.37,0
38,54.4,554,7.25,458.58,6.96,1
26,62.12,649,0.58,795.46,6.26,0
37,37.78,668,9.94,1236.59,6.47,0
20,53.17,677,4.36,864.72,8.77,1
48,79.14,708,2.89,783.18,6.17,1
47,67.84,657,14.1,571.15,6.89,1
32,57.65,633,5.94,775.08,5.53,0
39,61.7,767,5.37,643.97,8.39,1
18,68.71,658,8.24,994.43,5.13,0
23,71.59,779,8.45,910.84,6.39,1
32,51.65,657,9.42,820.04,7.97,1
24,83.02,679,2.0,732.31,5.2,0
42,79.75,670,7.61,1235.82,7.8,1
55,70.16,696,5.12,744.83,3.43,0
23,47.36,651,3.24,745.65,4.86,0
27,44.7,687,6.14,846.55,6.36,0
37,55.1,787,0.57,877.31,10.0,1
51,60.91,753,8.77,1006.05,6.72,1
23,33.47,754,5.13,1104.7,6.75,1
37,67.42,586,4.57,1088.23,8.22,0
53,79.31,597,5.59,1434.58,4.87,0
18,68.65,695,5.5,527.57,1.95,1
22,49.86,734,9.42,950.79,9.1,1
31,48.08,644,2.71,785.49,7.41,0
30,64.5,631,4.85,1342.15,5.83,0
43,57.7,778,5.35,938.63,6.59,1
37,66.65,728,2.8,453.47,8.08,1
18,69.03,754,6.48,995.53,6.31,1
40,76.38,649,3.83,958.7,6.72,0
29,43.02,644,1.79,1066.7,9.55,0
48,63.32,746,7.58,740.82,4.63,1
29,54.55,662,10.64,972.12,7.28,0
29,58.52,637,6.15,840.49,4.67,1
40,72.97,616,5.69,752.3,8.84,1
43,74.6,644,5.63,975.4,6.94,0
39,80.98,741,4.45,933.61,5.47,0
18,66.38,574,9.51,1131.01,4.25,0
40,58.35,724,6.28,905.94,5.97,0
25,56.21,630,0.0,1032.86,6.78,0
37,33.98,665,9.6,634.36,8.24,1
21,80.1,670,8.86,1206.79,4.86,1
39,55.17,665,7.8,729.02,5.26,0
27,67.59,660,0.0,1098.64,5.75,0
22,70.18,649,5.99,957.89,5.34,0
42,41.32,640,8.68,929.99,5.73,0
37,46.15,772,7.14,1067.28,5.08,1
29,83.21,682,6.62,429.2,7.13,1
50,64.36,671,8.69,773.82,5.78,0
31,51.29,635,6.42,1064.15,6.52,0
35,58.1,651,9.61,1322.86,6.96,0
38,76.29,635,6.49,894.64,4.43,0
